Sample	Complete (%)	Single-Copy (%)	Duplicated (%)	Fragmented (%)	Missing (%)	Total BUSCOs
GCA_019248685.1		100.00	0.00	0.00	0.00	542
GCA_019248735.1		99.82	0.00	0.18	0.00	542
GCA_019248935.1		100.00	0.00	0.00	0.00	542

